player_id,web_name,team,position,predicted_points,actual_points,error,expected_minutes,actual_minutes
39,Nedeljkovic,AVL,DEF,0.0,0,0.0,0.0,0
44,Bailey,AVL,MID,0.0,0,0.0,0.0,0
48,Onana,AVL,MID,0.0,0,0.0,0.0,0
49,Iling Jr,AVL,MID,0.0,0,0.0,0.0,0
50,Burrowes,AVL,MID,0.0,0,0.0,0.0,0
53,Manzambi,AVL,MID,0.0,1,-1.0,0.0,27
54,Gomes,AVL,MID,0.0,0,0.0,0.0,0
55,Watkins,AVL,FWD,0.0,0,0.0,0.0,0
58,Forster,BOU,GKP,0.0,0,0.0,0.0,0
59,Dennis,BOU,GKP,0.0,0,0.0,0.0,0
62,Diakité,BOU,DEF,0.0,0,0.0,0.0,0
63,Milosavljević,BOU,DEF,0.0,0,0.0,0.0,0
65,J.Araujo,BOU,DEF,0.0,0,0.0,0.0,0
66,Soler,BOU,DEF,0.0,0,0.0,0.0,0
77,Adli,BOU,MID,0.0,0,0.0,0.0,0
78,Kroupi.Jr,BOU,MID,0.0,0,0.0,0.0,0
80,Enes Ünal,BOU,FWD,0.0,0,0.0,0.0,0
83,Valdimarsson,BRE,GKP,0.0,0,0.0,0.0,0
85,Van den Berg,BRE,DEF,0.0,0,0.0,0.0,0
92,Ji-soo,BRE,DEF,0.0,0,0.0,0.0,0
97,Jensen,BRE,MID,0.0,0,0.0,0.0,0
99,Milambo,BRE,MID,0.0,0,0.0,0.0,0
100,Carvalho,BRE,MID,0.0,0,0.0,0.0,0
101,Henderson,CHE,MID,0.0,0,0.0,0.0,0
103,Dasilva,BRE,MID,0.0,0,0.0,0.0,0
107,Furo,BRE,FWD,0.0,0,0.0,0.0,0
111,Steele,BHA,GKP,0.0,0,0.0,0.0,0
117,Coppola,BHA,DEF,0.0,0,0.0,0.0,0
118,Igor,BHA,DEF,0.0,0,0.0,0.0,0
120,Svoboda,BHA,DEF,0.0,0,0.0,0.0,0
121,Mitoma,BHA,MID,0.0,0,0.0,0.0,0
122,Minteh,BHA,MID,0.0,0,0.0,0.0,0
126,O'Riley,BHA,MID,0.0,1,-1.0,0.0,6
128,Buonanotte,BHA,MID,0.0,0,0.0,0.0,0
130,Wieffer,BHA,DEF,0.0,0,0.0,0.0,0
131,Baleba,MUN,MID,0.0,0,0.0,0.0,0
132,Howell,BHA,MID,0.0,0,0.0,0.0,0
133,Watson,BHA,MID,0.0,0,0.0,0.0,0
134,Oriola,BHA,MID,0.0,0,0.0,0.0,0
137,Tzimas,BHA,FWD,0.0,0,0.0,0.0,0
139,Ferguson,BHA,FWD,0.0,0,0.0,0.0,0
140,Sánchez,CHE,GKP,0.0,0,0.0,0.0,0
141,Jörgensen,CHE,GKP,0.0,0,0.0,0.0,0
143,Chalobah,CHE,DEF,0.0,0,0.0,0.0,0
146,B.Badiashile,CHE,DEF,0.0,0,0.0,0.0,0
147,Tosin,TOT,DEF,0.0,1,-1.0,0.0,5
150,M.Sarr,CHE,DEF,0.0,0,0.0,0.0,0
152,Palestra,CHE,DEF,0.0,0,0.0,0.0,0
158,Gittens,CHE,MID,0.0,0,0.0,0.0,0
163,D.Essugo,CHE,MID,0.0,0,0.0,0.0,0
